degree,pr,closeness,eigenvector,cc,betweennes,egoNeighEdge,egoNeighNode,egoEdge,egoNode,degree_w,label
0.87768,0.85271,0.8098,0.78129,0.82951,0.87654,0.85856,0.87339,0.81346,0.87768,0.85221,1
0.84142,0.8087,0.84305,0.73715,0.83827,0.84906,0.82368,0.8466,0.76358,0.84142,0.83403,1
0.863,0.82181,0.77674,0.7898,0.81275,0.82241,0.75356,0.86117,0.7557,0.863,0.76324,1
0.85224,0.8662,0.84307,0.82002,0.82187,0.88099,0.86213,0.85146,0.81898,0.85224,0.85287,1
0.8762,0.8575,0.84685,0.80716,0.82503,0.87308,0.8415,0.87153,0.81253,0.8762,0.8572,1
0.87557,0.87001,0.85139,0.78953,0.80112,0.8865,0.84505,0.87027,0.83016,0.87557,0.80891,1
0.83942,0.86479,0.84807,0.76119,0.85048,0.88173,0.83285,0.84573,0.73899,0.83942,0.82069,1
0.84558,0.86854,0.83716,0.77255,0.86467,0.88967,0.8305,0.84829,0.75865,0.84558,0.82463,1
0.85924,0.86827,0.83341,0.79194,0.84626,0.87935,0.83843,0.86756,0.82467,0.85924,0.85074,1
0.87136,0.85062,0.8386,0.72824,0.84425,0.85418,0.83093,0.86573,0.81909,0.87136,0.8341,1
0.86343,0.86988,0.85266,0.77516,0.8521,0.87814,0.81377,0.87911,0.82387,0.86343,0.80732,1
0.87381,0.77044,0.85365,0.8036,0.836,0.73641,0.83496,0.88654,0.7935,0.87381,0.85785,1
0.86684,0.85514,0.81619,0.80906,0.8247,0.74565,0.81958,0.8755,0.82193,0.86684,0.81677,1
0.87452,0.86134,0.7884,0.76681,0.83525,0.86981,0.82073,0.8755,0.80808,0.87452,0.85601,1
0.86409,0.81846,0.83328,0.79724,0.86526,0.77775,0.83931,0.85905,0.72703,0.86409,0.8345,1
0.86743,0.87726,0.85826,0.7859,0.86455,0.87731,0.82645,0.8633,0.83148,0.86743,0.7784,1
0.87051,0.8665,0.84114,0.7974,0.81515,0.88785,0.86305,0.87641,0.83694,0.87051,0.79215,1
0.87512,0.86328,0.84537,0.75334,0.8474,0.88225,0.82928,0.87653,0.83552,0.87512,0.83542,1
0.87311,0.8628,0.84258,0.76547,0.81155,0.87625,0.81669,0.87248,0.83701,0.87311,0.8111,1
0.87299,0.83346,0.81725,0.80783,0.81396,0.77687,0.83689,0.87282,0.79811,0.87299,0.83092,1
